string,difficulty,SE,HoDoKu,print_date,day_of_week
1.54E+80,easy,1.2,304,2021-12-28,Tuesday
2.01E+79,medium,2.3,650,2021-12-28,Tuesday
5.96E+79,hard,3.4,1330,2021-12-28,Tuesday
2.37E+80,easy,1.2,310,2023-02-01,Wednesday
3.00E+79,medium,3.4,580,2023-02-01,Wednesday
3.80E+77,hard,2.3,654,2023-02-01,Wednesday
4.03E+79,easy,1.2,310,2022-04-05,Tuesday
9.01E+76,medium,2.3,586,2022-04-05,Tuesday
8.00E+80,hard,3.4,862,2022-04-05,Tuesday
2.00E+80,easy,1.2,304,2022-12-16,Friday
3.00E+80,medium,2.3,596,2022-12-16,Friday
3.80E+74,hard,2.3,590,2022-12-16,Friday
2.08E+79,easy,1.2,310,2021-06-28,Monday
1.01E+80,medium,2.3,546,2021-06-28,Monday
5.07E+74,hard,2.3,766,2021-06-28,Monday
4.95E+80,easy,1.2,304,2022-04-09,Saturday
7.00E+80,medium,3,506,2022-04-09,Saturday
3.00E+72,hard,2.3,610,2022-04-09,Saturday
9.40E+80,easy,1.2,304,2023-09-21,Thursday
1.20E+80,medium,2,604,2023-09-21,Thursday
1.01E+76,hard,2.3,510,2023-09-21,Thursday
2.78E+80,easy,1.2,304,2023-04-26,Wednesday
9.00E+80,medium,2,532,2023-04-26,Wednesday
4.00E+80,hard,2.8,838,2023-04-26,Wednesday
1.58E+80,easy,1.2,316,2020-11-11,Wednesday
8.04E+74,medium,2,602,2020-11-11,Wednesday
7.04E+80,hard,2.6,696,2020-11-11,Wednesday
4.00E+79,easy,1.2,310,2021-04-18,Sunday
4.20E+78,medium,2.3,584,2021-04-18,Sunday
2.91E+80,hard,3.4,924,2021-04-18,Sunday
3.09E+78,easy,1.2,310,2023-11-18,Saturday
3.51E+75,medium,2.3,536,2023-11-18,Saturday
3.01E+80,hard,3,790,2023-11-18,Saturday
4.31E+79,easy,1.2,304,2023-08-19,Saturday
6.13E+79,medium,1.9,516,2023-08-19,Saturday
8.00E+77,hard,3,574,2023-08-19,Saturday
5.02E+79,easy,1.2,304,2021-06-24,Thursday
9.10E+78,medium,2,628,2021-06-24,Thursday
8.01E+76,hard,2.3,536,2021-06-24,Thursday
1.78E+80,easy,1.2,304,2021-02-03,Wednesday
3.50E+80,medium,2.3,510,2021-02-03,Wednesday
3.00E+79,hard,3,780,2021-02-03,Wednesday
9.01E+77,easy,1.2,310,2021-11-08,Monday
7.00E+79,medium,2.3,494,2021-11-08,Monday
4.02E+79,hard,2.3,692,2021-11-08,Monday
8.06E+80,easy,1.2,316,2022-03-06,Sunday
3.00E+78,medium,3,630,2022-03-06,Sunday
2.05E+74,hard,4,1184,2022-03-06,Sunday
2.05E+79,easy,1.2,316,2021-02-07,Sunday
5.00E+74,medium,2,726,2021-02-07,Sunday
1.05E+78,hard,2,542,2021-02-07,Sunday
8.32E+80,easy,1.2,310,2021-02-27,Saturday
7.00E+75,medium,2.3,600,2021-02-27,Saturday
7.00E+80,hard,3,666,2021-02-27,Saturday
5.71E+80,easy,1.2,310,2021-04-22,Thursday
4.00E+78,medium,2,736,2021-04-22,Thursday
5.00E+80,hard,3,864,2021-04-22,Thursday
3.59E+80,easy,1.2,304,2021-06-25,Friday
6.90E+78,medium,2.3,580,2021-06-25,Friday
6.00E+79,hard,2.8,674,2021-06-25,Friday
6.04E+78,easy,1.2,310,2023-12-12,Tuesday
4.00E+79,medium,3.4,676,2023-12-12,Tuesday
3.00E+79,hard,2.3,590,2023-12-12,Tuesday
3.01E+80,easy,1.2,304,2022-05-20,Friday
6.77E+73,medium,2,686,2022-05-20,Friday
8.62E+76,hard,2.5,660,2022-05-20,Friday
9.35E+80,easy,1.2,310,2023-06-18,Sunday
2.05E+74,medium,3.4,640,2023-06-18,Sunday
2.98E+79,hard,3.4,704,2023-06-18,Sunday
7.60E+79,easy,1.2,310,2021-02-06,Saturday
5.06E+78,medium,2.3,494,2021-02-06,Saturday
4.00E+78,hard,2,566,2021-02-06,Saturday
2.60E+80,easy,1.2,316,2023-11-21,Tuesday
2.00E+79,medium,2.3,994,2023-11-21,Tuesday
4.20E+72,hard,3,820,2023-11-21,Tuesday
3.72E+79,easy,1.2,310,2021-02-16,Tuesday
8.00E+77,medium,2,510,2021-02-16,Tuesday
1.00E+79,hard,2.3,504,2021-02-16,Tuesday
9.40E+80,easy,1.2,304,2022-03-25,Friday
9.00E+79,medium,2.3,678,2022-03-25,Friday
7.01E+80,hard,2.3,516,2022-03-25,Friday
6.54E+80,easy,1.2,310,2023-06-13,Tuesday
4.00E+74,medium,2.3,530,2023-06-13,Tuesday
1.00E+79,hard,2.8,1064,2023-06-13,Tuesday
7.01E+80,easy,1.2,304,2020-12-29,Tuesday
3.90E+79,medium,2,540,2020-12-29,Tuesday
1.30E+78,hard,3,1120,2020-12-29,Tuesday
1.90E+76,easy,1.2,304,2020-12-30,Wednesday
6.00E+80,medium,2,726,2020-12-30,Wednesday
2.00E+80,hard,2.3,580,2020-12-30,Wednesday
9.50E+78,easy,1.2,310,2023-09-16,Saturday
1.03E+80,medium,2.3,526,2023-09-16,Saturday
9.03E+73,hard,2.3,596,2023-09-16,Saturday
4.70E+80,easy,1.2,304,2021-05-15,Saturday
7.00E+80,medium,2.3,526,2021-05-15,Saturday
2.07E+78,hard,2,514,2021-05-15,Saturday
1.59E+80,easy,1.2,304,2021-05-05,Wednesday
6.09E+79,medium,2,524,2021-05-05,Wednesday
7.09E+75,hard,2.8,704,2021-05-05,Wednesday
6.81E+80,easy,1.2,304,2021-01-02,Saturday
3.00E+79,medium,3.4,930,2021-01-02,Saturday
2.90E+80,hard,2.3,720,2021-01-02,Saturday
6.05E+79,easy,1.2,310,2021-05-17,Monday
4.00E+79,medium,2.3,520,2021-05-17,Monday
8.06E+77,hard,3,634,2021-05-17,Monday
5.07E+79,easy,1.2,316,2021-09-29,Wednesday
6.90E+76,medium,2,692,2021-09-29,Wednesday
4.20E+72,hard,3,820,2021-09-29,Wednesday
9.17E+79,easy,1.2,304,2021-01-07,Thursday
2.06E+79,medium,2,530,2021-01-07,Thursday
3.07E+80,hard,3,494,2021-01-07,Thursday
5.76E+79,easy,1.2,310,2023-09-26,Tuesday
4.03E+73,medium,2.3,696,2023-09-26,Tuesday
6.80E+77,hard,2.3,612,2023-09-26,Tuesday
2.05E+80,easy,1.2,304,2021-02-01,Monday
1.06E+78,medium,2.3,526,2021-02-01,Monday
8.74E+79,hard,2.8,748,2021-02-01,Monday
3.52E+79,easy,1.2,310,2022-04-02,Saturday
3.80E+79,medium,2.3,760,2022-04-02,Saturday
2.00E+78,hard,2.3,670,2022-04-02,Saturday
4.81E+80,easy,1.2,310,2021-10-11,Monday
6.00E+80,medium,2,520,2021-10-11,Monday
2.00E+79,hard,2.3,626,2021-10-11,Monday
4.03E+78,easy,1.2,304,2023-06-05,Monday
2.50E+80,medium,2.3,536,2023-06-05,Monday
3.01E+72,hard,3,772,2023-06-05,Monday
6.70E+80,easy,1.2,310,2022-10-07,Friday
2.00E+80,medium,3.4,570,2022-10-07,Friday
6.50E+80,hard,3.4,850,2022-10-07,Friday
5.01E+80,easy,1.2,322,2021-11-20,Saturday
5.90E+78,medium,3.4,596,2021-11-20,Saturday
3.00E+80,hard,2.3,580,2021-11-20,Saturday
8.01E+77,easy,1.2,304,2023-03-07,Tuesday
4.20E+79,medium,2.3,530,2023-03-07,Tuesday
5.00E+77,hard,2.3,606,2023-03-07,Tuesday
3.98E+79,easy,1.2,322,2022-03-15,Tuesday
6.00E+80,medium,2.3,546,2022-03-15,Tuesday
4.00E+79,hard,3,834,2022-03-15,Tuesday
6.02E+79,easy,1.2,304,2022-12-10,Saturday
4.82E+80,medium,2.3,554,2022-12-10,Saturday
2.60E+79,hard,3.4,800,2022-12-10,Saturday
6.30E+80,easy,1.2,316,2022-01-18,Tuesday
5.00E+80,medium,2,514,2022-01-18,Tuesday
2.00E+77,hard,3.4,890,2022-01-18,Tuesday
5.08E+80,easy,1.2,316,2021-04-29,Thursday
2.60E+78,medium,2.3,530,2021-04-29,Thursday
7.90E+77,hard,2,1000,2021-04-29,Thursday
7.02E+77,easy,1.2,304,2021-01-15,Friday
9.31E+80,medium,3,630,2021-01-15,Friday
3.08E+79,hard,3,790,2021-01-15,Friday
6.98E+78,easy,1.2,304,2023-11-03,Friday
3.60E+80,medium,2.3,500,2023-11-03,Friday
4.92E+78,hard,2.3,656,2023-11-03,Friday
3.27E+78,easy,1.2,304,2022-07-20,Wednesday
8.17E+79,medium,2.3,514,2022-07-20,Wednesday
6.24E+80,hard,2.3,574,2022-07-20,Wednesday
1.20E+79,easy,1.2,316,2023-01-01,Sunday
3.01E+77,medium,2.3,530,2023-01-01,Sunday
4.00E+79,hard,2.3,560,2023-01-01,Sunday
6.01E+79,easy,1.2,310,2021-10-01,Friday
5.07E+78,medium,2.3,534,2021-10-01,Friday
6.80E+79,hard,3,716,2021-10-01,Friday
7.10E+79,easy,1.2,310,2023-03-08,Wednesday
7.10E+79,medium,2,580,2023-03-08,Wednesday
2.00E+80,hard,3.4,790,2023-03-08,Wednesday
2.06E+79,easy,1.2,304,2021-03-07,Sunday
2.06E+78,medium,2.3,650,2021-03-07,Sunday
3.07E+74,hard,2.8,880,2021-03-07,Sunday
3.60E+79,easy,1.2,316,2021-03-22,Monday
1.60E+80,medium,2.3,520,2021-03-22,Monday
2.06E+78,hard,2.3,716,2021-03-22,Monday
8.69E+80,easy,1.2,310,2023-09-29,Friday
6.08E+76,medium,2.3,546,2023-09-29,Friday
2.00E+79,hard,3.4,816,2023-09-29,Friday
4.00E+80,easy,1.2,310,2021-04-30,Friday
2.30E+67,medium,2,514,2021-04-30,Friday
9.00E+79,hard,3.4,846,2021-04-30,Friday
2.04E+79,easy,1.2,316,2023-07-02,Sunday
1.05E+71,medium,2,520,2023-07-02,Sunday
6.00E+80,hard,2.3,820,2023-07-02,Sunday
1.81E+78,easy,1.2,310,2021-01-11,Monday
8.40E+80,medium,2,536,2021-01-11,Monday
7.03E+75,hard,3,986,2021-01-11,Monday
8.01E+80,easy,1.2,304,2021-01-19,Tuesday
9.00E+78,medium,3,614,2021-01-19,Tuesday
8.00E+76,hard,2.3,700,2021-01-19,Tuesday
1.05E+78,easy,1.2,304,2022-07-03,Sunday
3.70E+73,medium,2.3,846,2022-07-03,Sunday
3.00E+79,hard,2.3,590,2022-07-03,Sunday
7.10E+80,easy,1.2,304,2023-07-17,Monday
9.01E+80,medium,3.4,610,2023-07-17,Monday
9.30E+78,hard,3.4,720,2023-07-17,Monday
6.05E+79,easy,1.2,316,2023-07-26,Wednesday
5.00E+78,medium,2,510,2023-07-26,Wednesday
1.00E+78,hard,2.3,806,2023-07-26,Wednesday
